ymdhm,swl,inf,sfw,ecpc,tototf,tide_level,wl_1018662,fw_1018662,wl_1018680,fw_1018680,wl_1018683,fw_1018683,wl_1019630,fw_1019630
2019-05-01 00:00,25.0,0.0,211.41,32.59,329.0,186.0,293.70000000000005,355.94,278.2,,278.0,374.3,266.3,438.33
2019-05-01 00:10,25.0,0.0,211.41,32.59,198.0,199.0,293.70000000000005,355.94,278.2,,278.0,374.3,266.3,438.33
2019-05-01 00:20,25.0,0.0,211.41,32.59,137.0,215.0,293.70000000000005,355.94,278.2,,278.0,374.3,266.3,438.33
2019-05-01 00:30,25.0,0.0,211.41,32.59,136.0,233.0,293.70000000000005,355.94,278.2,,278.0,374.3,266.3,438.33
2019-05-01 00:40,25.0,35.0,211.41,32.59,136.0,249.0,293.70000000000005,355.94,278.2,,278.0,353.51,266.3,438.33
2019-05-01 00:50,25.01,237.0,211.77,32.23,136.0,265.0,293.70000000000005,355.94,278.2,,278.0,349.35,266.3,438.33
2019-05-01 01:00,25.01,236.0,211.77,32.23,135.0,282.0,294.7,362.15,278.2,,278.0,328.55,266.3,438.33
2019-05-01 01:10,25.01,236.0,211.77,32.23,135.0,300.0,294.7,362.15,278.2,,278.0,332.71,265.3,427.69
2019-05-01 01:20,25.01,236.0,211.77,32.23,135.0,317.0,292.7,349.79,278.2,,278.0,336.87,266.3,438.33
2019-05-01 01:30,25.01,236.0,211.77,32.23,135.0,334.0,291.7,343.69,278.2,,278.0,365.98,266.3,438.33
2019-05-01 01:40,25.01,236.0,211.77,32.23,135.0,351.0,290.7,337.64,278.2,,278.0,336.87,266.3,438.33
2019-05-01 01:50,25.01,135.0,211.77,32.23,135.0,369.0,290.7,337.64,277.2,,278.0,282.81,266.3,438.33
2019-05-01 02:00,25.0,34.0,211.41,32.59,135.0,386.0,291.7,343.69,277.2,,276.99999999999994,257.49,266.3,438.33
2019-05-01 02:10,25.0,34.0,211.41,32.59,135.0,402.0,290.7,337.64,277.2,,276.99999999999994,236.72,266.3,438.33
2019-05-01 02:20,25.0,34.0,211.41,32.59,135.0,418.0,291.7,343.69,277.2,,276.99999999999994,207.65,266.3,438.33
2019-05-01 02:30,25.0,34.0,211.41,32.59,135.0,433.0,290.7,337.64,277.2,,276.99999999999994,203.5,265.3,427.69
2019-05-01 02:40,25.0,34.0,211.41,32.59,135.0,447.0,290.7,337.64,277.2,,276.99999999999994,178.58,265.3,427.69
2019-05-01 02:50,25.0,34.0,211.41,32.59,135.0,458.0,290.7,337.64,277.2,,276.99999999999994,170.27,264.3,417.17
2019-05-01 03:00,25.0,135.0,211.41,32.59,135.0,470.0,290.7,337.64,277.2,,276.99999999999994,182.73,264.3,417.17
2019-05-01 03:10,25.01,236.0,211.77,32.23,135.0,481.0,290.7,337.64,276.2,,276.0,219.8,263.3,406.79
2019-05-01 03:20,25.01,236.0,211.77,32.23,135.0,490.0,290.7,337.64,276.2,,276.0,215.65,263.3,406.79
2019-05-01 03:30,25.01,236.0,211.77,32.23,135.0,497.0,290.7,337.64,276.2,,276.0,232.24,263.3,406.79
2019-05-01 03:40,25.01,236.0,211.77,32.23,135.0,503.0,290.7,337.64,275.2,,276.0,215.65,263.3,406.79
2019-05-01 03:50,25.01,236.0,211.77,32.23,135.0,506.0,289.70000000000005,331.65,275.2,,275.0,236.05,263.3,406.79
2019-05-01 04:00,25.01,236.0,211.77,32.23,135.0,507.0,288.7,325.72,275.2,,275.0,236.05,263.3,406.79
2019-05-01 04:10,25.01,135.0,211.77,32.23,135.0,504.0,287.7,319.84,274.2,,275.0,248.48,263.3,406.79
2019-05-01 04:20,25.01,134.0,211.77,32.23,134.0,499.0,287.7,319.84,274.2,,275.0,256.76,262.3,396.55
2019-05-01 04:30,25.01,134.0,211.77,32.23,134.0,493.0,287.7,319.84,274.2,,275.0,260.9,262.3,396.55
2019-05-01 04:40,25.01,134.0,211.77,32.23,134.0,485.0,287.7,319.84,274.2,,274.0,235.72,262.3,396.55
2019-05-01 04:50,25.01,134.0,211.77,32.23,134.0,475.0,287.7,319.84,274.2,,274.0,256.39,262.3,396.55
2019-05-01 05:00,25.01,134.0,211.77,32.23,134.0,465.0,286.7,314.01,273.2,,274.0,243.99,262.3,396.55
2019-05-01 05:10,25.01,134.0,211.77,32.23,134.0,454.0,285.70000000000005,308.24,273.2,,273.0,235.38,261.3,386.43
2019-05-01 05:20,25.01,134.0,211.77,32.23,134.0,443.0,285.70000000000005,308.24,273.2,,273.0,243.64,261.3,386.43
2019-05-01 05:30,25.01,134.0,211.77,32.23,134.0,431.0,286.7,314.01,273.2,,273.0,214.73,261.3,386.43
2019-05-01 05:40,25.02,235.0,212.14,31.86,134.0,419.0,286.7,314.01,272.2,,273.0,218.86,261.3,386.43
2019-05-01 05:50,25.02,235.0,212.14,31.86,134.0,406.0,286.7,314.01,272.2,,272.0,222.68,260.3,376.45
2019-05-01 06:00,25.02,235.0,212.14,31.86,134.0,393.0,284.70000000000005,302.53,272.2,,272.0,214.43,260.3,376.45
2019-05-01 06:10,25.02,235.0,212.14,31.86,134.0,380.0,284.70000000000005,302.53,272.2,,272.0,202.06,260.3,376.45
2019-05-01 06:20,25.02,235.0,212.14,31.86,134.0,366.0,284.70000000000005,302.53,272.2,,272.0,235.05,259.3,366.6
2019-05-01 06:30,25.02,235.0,212.14,31.86,134.0,353.0,284.70000000000005,302.53,272.2,,271.0,218.24,259.3,366.6
2019-05-01 06:40,25.02,134.0,212.14,31.86,134.0,340.0,283.70000000000005,296.87,272.2,,271.0,214.12,259.3,366.6
2019-05-01 06:50,25.02,134.0,212.14,31.86,134.0,327.0,283.70000000000005,296.87,271.2,,271.0,218.24,259.3,366.6
2019-05-01 07:00,25.02,134.0,212.14,31.86,134.0,314.0,282.7,291.27,270.2,,271.0,226.48,259.3,366.6
2019-05-01 07:10,25.02,134.0,212.14,31.86,134.0,301.0,282.7,291.27,270.2,,270.0,197.37,259.3,366.6
2019-05-01 07:20,25.02,152.0,212.14,31.86,152.0,289.0,282.7,291.27,270.2,,270.0,209.71,258.3,356.89
2019-05-01 07:30,25.02,153.0,212.14,31.86,153.0,277.0,283.70000000000005,296.87,270.2,,270.0,201.48,258.3,356.89
2019-05-01 07:40,25.02,177.0,212.14,31.86,177.0,264.0,282.7,291.27,270.2,,270.0,197.37,258.3,356.89
2019-05-01 07:50,25.02,178.0,212.14,31.86,178.0,253.0,282.7,291.27,269.2,,269.0,197.09,258.3,356.89
2019-05-01 08:00,25.02,178.0,212.14,31.86,178.0,242.0,282.7,291.27,269.2,,269.0,197.09,258.3,356.89
2019-05-01 08:10,25.03,279.0,212.5,31.5,178.0,231.0,281.70000000000005,285.72,269.2,,268.0,172.21,257.3,347.31
2019-05-01 08:20,25.03,279.0,212.5,31.5,178.0,221.0,281.70000000000005,285.72,269.2,,268.0,164.01,256.3,337.86
2019-05-01 08:30,25.03,279.0,212.5,31.5,178.0,210.0,280.70000000000005,280.22,269.2,,268.0,184.51,256.3,337.86
2019-05-01 08:40,25.03,279.0,212.5,31.5,178.0,201.0,281.70000000000005,285.72,269.2,,268.0,164.01,256.3,337.86
2019-05-01 08:50,25.03,279.0,212.5,31.5,178.0,191.0,281.70000000000005,285.72,268.2,,268.0,151.71,255.3,328.54
2019-05-01 09:00,25.03,288.0,212.5,31.5,187.0,181.0,280.70000000000005,280.22,268.2,,268.0,172.21,256.3,337.86
2019-05-01 09:10,25.02,253.0,212.14,31.86,354.0,171.0,282.7,291.27,268.2,,268.0,184.51,256.3,337.86
2019-05-01 09:20,25.02,255.0,212.14,31.86,356.0,162.0,282.7,291.27,268.2,,268.0,188.61,256.3,337.86
2019-05-01 09:30,25.04,459.0,212.86,31.14,358.0,152.0,281.70000000000005,285.72,268.2,,268.0,172.21,254.3,319.36
2019-05-01 09:40,25.06,667.0,213.59,30.41,364.0,143.0,281.70000000000005,285.72,268.2,,267.0,147.4,253.3,310.31
2019-05-01 09:50,25.06,662.0,213.59,30.41,359.0,134.0,280.70000000000005,280.22,268.2,,267.0,147.4,253.3,310.31
2019-05-01 10:00,25.06,662.0,213.59,30.41,359.0,125.0,279.7,274.78,268.2,,267.0,180.15,252.3,301.39
2019-05-01 10:10,25.06,763.0,213.59,30.41,360.0,117.0,279.7,274.78,268.2,,267.0,188.34,252.3,301.39
2019-05-01 10:20,25.07,870.0,213.96,30.04,366.0,110.0,279.7,274.78,268.2,,267.0,180.15,252.3,301.39
2019-05-01 10:30,25.07,663.0,213.96,30.04,360.0,104.0,280.70000000000005,280.22,268.2,,267.0,176.06,252.3,301.39
2019-05-01 10:40,25.07,461.0,213.96,30.04,360.0,98.0,280.70000000000005,280.22,268.2,,267.0,163.77,252.3,301.39
2019-05-01 10:50,25.07,461.0,213.96,30.04,360.0,97.0,280.70000000000005,280.22,268.2,,265.99999999999994,179.89,251.3,292.61
2019-05-01 11:00,25.06,360.0,213.59,30.41,360.0,99.0,279.7,274.78,268.2,,265.99999999999994,220.78,251.3,292.61
2019-05-01 11:10,25.07,461.0,213.96,30.04,360.0,109.0,280.70000000000005,280.22,268.2,,265.99999999999994,192.16,251.3,292.61
2019-05-01 11:20,25.07,360.0,213.96,30.04,360.0,121.0,280.70000000000005,280.22,268.2,,267.0,171.96,251.3,292.61
2019-05-01 11:30,25.07,360.0,213.96,30.04,360.0,133.0,280.70000000000005,280.22,268.2,,267.0,188.34,251.3,292.61
2019-05-01 11:40,25.09,563.0,214.69,29.31,360.0,145.0,280.70000000000005,280.22,268.2,,265.99999999999994,200.34,251.3,292.61
2019-05-01 11:50,25.1,664.0,215.05,28.95,360.0,153.0,279.7,274.78,268.2,,265.99999999999994,233.04,252.3,301.39
2019-05-01 12:00,25.1,766.0,215.05,28.95,360.0,162.0,280.70000000000005,280.22,268.2,,265.99999999999994,220.78,252.3,301.39
2019-05-01 12:10,25.11,766.0,215.42,28.58,360.0,171.0,281.70000000000005,285.72,268.2,,265.99999999999994,216.69,252.3,301.39
2019-05-01 12:20,25.11,766.0,215.42,28.58,360.0,182.0,281.70000000000005,285.72,268.2,,265.99999999999994,249.4,252.3,301.39
2019-05-01 12:30,25.11,766.0,215.42,28.58,360.0,200.0,280.70000000000005,280.22,268.2,,265.99999999999994,245.31,252.3,301.39
2019-05-01 12:40,25.12,659.0,215.79,28.21,354.0,219.0,280.70000000000005,280.22,268.2,,265.99999999999994,224.87,252.3,301.39
2019-05-01 12:50,25.12,569.0,215.79,28.21,366.0,239.0,280.70000000000005,280.22,268.2,,267.0,233.38,252.3,301.39
2019-05-01 13:00,25.12,569.0,215.79,28.21,366.0,258.0,282.7,291.27,268.2,,267.0,212.91,251.3,292.61
2019-05-01 13:10,25.12,468.0,215.79,28.21,366.0,277.0,282.7,291.27,268.2,,267.0,249.75,252.3,301.39
2019-05-01 13:20,25.12,468.0,215.79,28.21,366.0,296.0,283.70000000000005,296.87,268.2,,268.0,262.41,252.3,301.39
2019-05-01 13:30,25.12,468.0,215.79,28.21,366.0,316.0,284.70000000000005,302.53,268.2,,268.0,307.51,252.3,301.39
2019-05-01 13:40,25.12,366.0,215.79,28.21,366.0,336.0,283.70000000000005,296.87,269.2,,269.0,275.1,252.3,301.39
2019-05-01 13:50,25.12,366.0,215.79,28.21,366.0,357.0,284.70000000000005,302.53,269.2,,269.0,287.42,252.3,301.39
2019-05-01 14:00,25.12,366.0,215.79,28.21,366.0,377.0,284.70000000000005,302.53,269.2,,269.0,295.63,252.3,301.39
2019-05-01 14:10,25.12,366.0,215.79,28.21,366.0,397.0,285.70000000000005,308.24,269.2,,269.0,299.74,252.3,301.39
2019-05-01 14:20,25.12,366.0,215.79,28.21,366.0,417.0,284.70000000000005,302.53,269.2,,269.0,332.59,253.3,310.31
2019-05-01 14:30,25.12,366.0,215.79,28.21,366.0,436.0,284.70000000000005,302.53,269.2,,270.0,333.06,254.3,319.36
2019-05-01 14:40,25.12,366.0,215.79,28.21,366.0,455.0,284.70000000000005,302.53,269.2,,270.0,312.5,254.3,319.36
2019-05-01 14:50,25.12,366.0,215.79,28.21,366.0,472.0,284.70000000000005,302.53,270.2,,270.0,300.17,254.3,319.36
2019-05-01 15:00,25.12,366.0,215.79,28.21,366.0,489.0,285.70000000000005,308.24,270.2,,271.0,300.6,254.3,319.36
2019-05-01 15:10,25.12,366.0,215.79,28.21,366.0,506.0,284.70000000000005,302.53,271.2,,270.0,275.5,254.3,319.36
2019-05-01 15:20,25.12,366.0,215.79,28.21,366.0,521.0,286.7,314.01,271.2,,271.0,321.19,255.3,328.54
2019-05-01 15:30,25.12,366.0,215.79,28.21,366.0,535.0,286.7,314.01,271.2,,271.0,317.07,255.3,328.54
2019-05-01 15:40,25.12,366.0,215.79,28.21,366.0,546.0,287.7,319.84,271.2,,272.0,309.27,255.3,328.54
2019-05-01 15:50,25.12,366.0,215.79,28.21,366.0,555.0,287.7,319.84,272.2,,272.0,321.64,255.3,328.54
